Sr. No.,College Name,University Name,District,Taluka,Exclusively in Womens Colleges,"College Types","(Report no 5)
Whether Minority Institution (Yes/No)","Linguistic/
Religious_Type",JD Region,Correspondence Address,Email,Contact Phone 1,Contact Phone 2,Mobile,Principal Name,College Type
1,Dutt Shikshan Prasarak Mandal Sanchlit Arts & Science College,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Beed,Ashti,Co-Education,Urban,No,Select,Aurangabad,Infront of New Tahasil Bulding Ashti Ashti- Jamkhed RoadAshti Dist: Beed,sdspmjcollegeashti@gmail.com,02441-2953343,02441-283343,9890334242,Prof. Jadhav G.B,Non-Aided
2,G.S.P.M.'s Gramin Science Vocational College Vishnupuri Nanded,Swami Ramanand Teerth Marathwada University Nanded,Nanded,Nanded,Co-Education,Rural,No,Select,Nanded,Gramin Science CollegeVishnupuriNanded.,principalgsvcned@gmail.com,2462229777,91-9423657375,9422171151,Dr. Sawate A.R,Non-Aided
3,Maratha Shikshan Sanstha Sanchlit Late. Pandharinath Patil Institute of Management Studies,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Urban,No,Select,Aurangabad,samarth nagar vivekanand college campus aurangabadsamarth nagar,lppimsitaurangabad@gmail.com,0240-2365821,0240-2365840,9422290344,I/c Dr. Ashok Gaikwad,Non-Aided
4,K.V.N.Naik Shikshan Prasarak Sanstha`s Art Com. & Sci. College NASHIK,Savitribai Phule Pune University Pune,Nashik,Nashik,Co-Education,Urban,No,Select,Pune,Canada Corner Sharanpur RoadCanada Corner Sharanpur Road,vnnaik_col@rediffmail.com,0253-2576692,0253-2576692,9545469587,Dr. Sanjay Madhav Sanap,Aided
5,Mungasaji Maharaj Mahavidyalaya Darwha Distt. Yavatmal,Sant Gadge Baba Amravati University Amravati,Yavatmal,Darwha,Co-Education,Urban,No,Select,Amravati,at.post Darwha Dist.:-Yavatmal 445202at post Darwha Dist.:-Yavatmal 445202,mmm413@sgbau.ac.in,07238-295509,07238-254245,9423663312,Dr. Vilas Bapurao Raut,Aided
6,Bhagwan Baba College Lonar,Sant Gadge Baba Amravati University Amravati,Buldhana,Lonar,Co-Education,Rural,No,Select,Amravati,Mantha Road LonarDist. Buldahana,bbcollegelonar@gmail.com,07260-221426,07260-221426,9423446781,Dr. Rajendra N.Borse,Aided
7,Adarsh Senior College Omerga,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Osmanabad,Omerga,Co-Education,Rural,No,Select,Aurangabad,Adarsh Mahavidyalaya OmergaTq Omerga,sspmo01@rediffmail.com,02475-252401,02475-252401,9423072828,Dr. Dilip Parshuram Garud,Aided
8,Kala Wa Vanijya Mahavidyalaya Hiwarkhed,Sant Gadge Baba Amravati University Amravati,Akola,Telhara,Co-Education,Rural,No,Select,Amravati,AT+Post:- Hiwarkhed Tq:- TelharaAT+Post:- Hiwarkhed Tq:- Telhara,ganeshthakre2009@gmail.com,7258228220,-9423649016,9763251152,Arun T. Hage(In-charge),Non-Aided
9,Mahatma Gandhi Mission's College of Commerce Kamothe Navi Mumbai,Mumbai University Mumbai,Raigad,Panvel,Co-Education,Urban,No,Select,Panvel,MGM Educational Campus AT Junction NH4 Opp Sion Panvel Expressway Sector - 1 Kamothe,mgmcoc@gmail.com,022-27433006,022-27433002,9833309876,Dr. Chaitali Avinash Gadekar,Non-Aided
10,M.V.P. samaj's Arts and Commerce CollegeSoygaon,Savitribai Phule Pune University Pune,Nashik,Malegaon,Co-Education,Rural,No,Select,Pune,Satana RoadSoygaonTal-Malegaon,principalacsoygaon@gmail.com,9423393007,02554-250505,9823870463,Dr.Kshirasagar H.M.,Non-Aided
11,Regal College of Hotel Management & Tourism Kondhe-Chiplun,Mumbai University Mumbai,Ratnagiri,Chiplun,Co-Education,Rural,No,Select,Panvel,At-KondheGuagar RoadPost-ShiralTal-ChiplunDist-RatnagiriPin Code-415628,regalcollegechiplun@gmail.com,2355259393,02355-259393,9765377431,Ms. sonali suryakant sathe,Non-Aided
12,Chandrakant Yashwant Dangat Patil Shikshan & Krida Mandal's Shiv Chatrapati Arts & Commerce College,Savitribai Phule Pune University Pune,Pune,Haveli,Co-Education,Urban,No,Select,Pune,Sr.No.46Vidyanagar Wadgaon Bk. Pune-411041,deshmukh.praful@gmail.com,2024350530,-9766167764,9766167764,Dr.Jadhavar Sudhakar Uddhavrao,Non-Aided
13,Annasaheb Mahavidyalay Pimpalgaon-Kolte Tal- Bhokardan. Dist- Jalna,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Jalna,Bhokardan,Co-Education,Rural,No,Select,Aurangabad,pimpalgaon kolte ta.bhokardan di.jalna pin code 431134,annasaheb1314@gmail.com,9404013007,91-9404013007,9765468875,Bochare Parmeshwar Bhausaheb,Non-Aided
14,R.M.D.College AkolaRahbar CampusAkola,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Akola,Akola,Girls,Urban,Yes,Religious,Amravati,Rahbar Campus Near Tape Hanuman MandirMohta Mill Road Firdous Colony,rmdakl@gmail.com,0724-2426161,0724-2426161,9860271952,M A HUSAIN,Non-Aided
15,Siddhant Senior College Pandharpur Shivar Ambapur Tal.Sakri Dist.Dhule,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Dhule,Sakri,Co-Education,Rural,No,Select,Jalgaon,Pandharpur Shivar Ambapur Tal.Sakri Dist.DhulePandharpur Shivar Ambapur Tal.Sakri Dist.Dhule,virdvtc@gmail.com,-9423218217,-9423218217,8390592410,R.P.Sonawane,Non-Aided
16,Shriram Kala Mahila Mahavidyalaya,Sant Gadge Baba Amravati University Amravati,Amravati,Dhamangaon Rly,Girls,Rural,No,Select,Amravati,tiwara road dhamangaon rly tiwara road dhamangaon rly Dist Amravati.,marverajesh@gmail.com,07222-237900,07222-237900,9890648980,DR.N.U.RAUT,Aided
17,R.K. TALREJA COLLEGE OF ARTS SCI & COMMERCE.,Mumbai University Mumbai,Thane,Ulhasnagar,Co-Education,Urban,Yes,Linguistic,Panvel,CHATRAPATI SHIVAJI MAHARAJ CHOWK ULHASNAGAR 421 003.,principalrkt@yahoo.com,9960342380,91-9324740102,9821347020,Dr. Geetha S. Menon (I/C Principal),Aided
18,Lal Bahadur Shastri College of Arts Science and Commerce 17 Malhar Peth SATARA-415 002,Shivaji University Kolhapur,Satara,Satara,Co-Education,Urban,No,Linguistic,Kolhapur,17 MALHAR PethSatara.,lbs_satara@yahoo.co.in,02162-237986,02162-237986,9423263832,Dr. Rajendra Vishwanath Shejawal,Aided
19,INDIRA GANDHI COLL.OF PHY.EDU.NAGPUR,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Co-Education,Urban,No,Select,Nagpur,85 Hanuman Nagar 440009,igcpengp@gmail.com,0712-2742525,0712-2742525,8055398740,Dr. Jaideep B Ghosh,Non-Aided
20,sadguru education societys college of physical education near khawajamiya Dargha Jalgaon,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,Jalgaon,Jalgaon,Co-Education,Urban,No,Select,Jalgaon,NEAR KHWAJAMIYA DARGAH GANESH COLONY JALGAON,principalbped@bpedjal.org,Maharashtra,0257-2251128,9422731504,Dr.Jayavant K shimpi,Non-Aided
21,Yuva Rashtra Sant Bhayyuji Maharaj B.Ed Women’s College,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Yavatmal,Kelapur,Girls,Rural,No,Select,Amravati,GHATANJI ROAD NEAR ITI COLLEGEPANDHARKAWADA TA- KELAPUR,shyamarke17@gmail.com,-7350095359,-7350095359,9011884311,KU. JAYA DIGAMBARRAO LENDE,Non-Aided
22,PRAVIN GANDHI COLLEGE OF LAW,Mumbai University Mumbai,Mumbai Suburban,Andheri,Co-Education,Urban,Yes,Linguistic,Mumbai,8th Floor Mithibai College CampusSwami Bhaktivedant Marg Vile Parle (W) Mumbai - 400 056.,pgcloffice@pgcl.ac.in,8655143915,022-65543915,0,Dr. Navasikha Duara,Non-Aided
